06-52-17.563,50.21,0
06-52-17.574,53.76,0
06-52-17.677,54.89,0
06-52-17.804,56.45,0
06-52-17.929,56.87,0
06-52-18.055,56.76,0
06-52-18.178,55.90,0
06-52-18.304,54.94,0
06-52-18.427,51.19,0
06-52-18.554,49.29,0
06-52-18.679,48.98,0
06-52-18.805,52.06,0
06-52-18.929,54.75,0
06-52-19.054,57.23,0
06-52-19.176,58.95,0
06-52-19.305,58.59,0
06-52-19.429,57.99,0
06-52-19.554,55.87,0
06-52-19.680,53.31,0
06-52-19.804,51.92,0
06-52-19.929,51.80,0
06-52-20.055,52.26,0
06-52-20.176,52.15,0
06-52-20.306,52.05,0
06-52-20.430,52.81,0
06-52-20.554,53.08,0
06-52-20.679,53.71,0
06-52-20.804,57.14,0
06-52-20.926,57.00,0
06-52-21.054,56.81,0
06-52-21.179,54.72,0
06-52-21.304,52.32,0
06-52-21.430,51.80,0
06-52-21.554,51.62,0
06-52-21.679,51.49,0
06-52-21.804,50.87,0
06-52-21.929,51.05,0
06-52-22.055,51.06,0
06-52-22.176,50.78,0
06-52-22.304,50.02,0
06-52-22.429,52.03,0
06-52-22.555,55.08,0
06-52-22.679,56.71,0
06-52-22.803,57.04,0
06-52-22.930,55.70,0
06-52-23.056,54.47,0
06-52-23.177,53.43,0
06-52-23.303,53.80,0
06-52-23.428,53.19,0
06-52-23.553,53.30,0
06-52-23.680,53.34,0
06-52-23.804,53.04,0
06-52-23.929,52.83,0
06-52-24.056,52.17,0
06-52-24.175,51.60,0
06-52-24.305,51.63,0
06-52-24.428,52.06,0
06-52-24.555,51.81,0
06-52-24.678,52.83,0
06-52-24.803,54.74,0
06-52-24.928,54.75,0
06-52-25.055,55.45,0
06-52-25.178,54.71,0
06-52-25.297,54.28,0
06-52-25.426,56.20,0
06-52-25.556,55.90,0
06-52-25.678,55.62,0
06-52-25.804,55.46,0
06-52-25.928,53.46,0
06-52-26.056,52.65,0
06-52-26.172,52.05,0
06-52-26.305,51.44,0
06-52-26.428,51.04,0
06-52-26.552,50.44,0
06-52-26.679,50.44,0
